# Sample model initialization file. Each line has the form:
#
# project | model_id | URL | description
#
# To configure the publisher database with this information:
#
# - In esg.ini, in the [initialize] section, uncomment the line:
#     initial_models_table = %(home)s/.esgcet/esgcet_models_table.txt
#
# - Run:
#     % esginitialize -c -i /esg/config/esgcet/esg.ini
cmip5 | HadGEM2-AO |  | HadGEM2-AO, National Institute of Meteorological Research/Korea Meteorological Administration
cmip5 | HadGEM2-CC |  | HadGEM2-CC, Met Office Hadley Centre
cmip5 | HadGEM2-ES |  | HadGEM2-ES, Met Office Hadley Centre
cmip5 | HadGEM2-ES |  | HadGM2-ES, Met Office Hadley Centre
cmip5 | INMCM4 |  | Institute for Numerical Mathematics
cmip5 | IPSL-CM5A-LR |  | IPSL-CM5A-LR, Institut Pierre-Simon Laplace
cmip5 | IPSL-CM5A-MR |  | IPSL-CM5A-MR, Institut Pierre-Simon Laplace
cmip5 | IPSL-CM5B-LR |  | IPSL-CM5B-LR, Institut Pierre-Simon Laplace
cmip5 | MIROC-ESM |  | MIROC-ESM, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | MIROC-ESM-CHEM |  | MIROC-ESM-CHEM, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | MIROC4H |  | MIROC4h, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | MIROC4M |  | MIROC4m, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | MIROC4h |  | MIROC4h, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | MIROC5 |  | MIROC5, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | MPI-ESM-HR |  | MPI-ESM-HR, Max Planck Institute for Meteorology (MPI-M)
cmip5 | MPI-ESM-LR |  | MPI-ESM-LR, Max Planck Institute for Meteorology (MPI-M)
cmip5 | MPI-ESM-MR |  | MPI-ESM-MR, Max Planck Institute for Meteorology (MPI-M)
cmip5 | MPI-ESM-P |  | MPI-ESM-P, Max Planck Institute for Meteorology (MPI-M)
cmip5 | MPI-ESM-P |  | MPI-ESM-P, Max Planck Institute for Meteorology (MPI-M)
cmip5 | MRI-AGCM3-2H |  | MRI-AGCM3-2H
cmip5 | MRI-AGCM3-2H |  | MRI-AGCM3.2H, Meteorological Research Institute
cmip5 | MRI-AGCM3-2H |  | mri-agcm3.2H, Meteorological Research Institute
cmip5 | MRI-AGCM3-2S |  | MRI-AGCM3.2S, Meteorological Research Institute
cmip5 | MRI-CGCM3 |  | MRI-CGCM3, Meteorological Research Institute
cmip5 | MRI-ESM1 |  | MRI-ESM1, Meteorological Research Institute
cmip5 | NICAM-09 |  | NICAM-09, Nonhydrostatic Icosahedral Atmospheric Model Group
cmip5 | NORESM1 |  | NorESM1, Norwegian Climate Centre (NorClim)
cmip5 | NorESM1-M |  | NorESM1- M, Norwegian Climate Centre (NorClim)
cmip5 | NorESM1-M |  | NorESM1-M
cmip5 | NorESM1-M |  | NorESM1-M, Norwegian Climate Centre (NorClim)
cmip5 | NorESM1-ME |  | NorESM1-ME
cmip5 | NorESM1-ME |  | NorESM1-ME, Norwegian Climate Centre (NorClim)
cmip5 | SP-CCSM4 |  | SP-CCSM4
cmip5 | access |  | ACCESS, Centre for Australian Weather and Climate Research (CAWCR)
cmip5 | bcc-csm1-1 |  | BCC-CSM1.1, Beijing Climate Center, China Meteorological Administration
cmip5 | bcc-csm1-1-m |  | BCC-CSM1.1-m, Beijing Climate Center, China Meteorological Administration
cmip5 | bnu-esm |  | BNU-ESM, College of Global Change and Earth System Science, Beijing Normal University
cmip5 | canam4 |  | CanAM4, Canadian Centre for Climate Modelling and Analysis
cmip5 | cancm4 |  | CanCM4, Canadian Centre for Climate Modelling and Analysis
